Mixture,Malignant,Endothelial cells,CAF,T cells CD8,NK cells,Macrophages,T cells CD4,B cells,P-value,Correlation,RMSE
TCGA-EE-A17Y-06A-11R-A18T-07,0.715530133633373,0.00136650866440836,0.271219754457074,0,0,0.00579806328291891,0.00265582470173079,0.00342971526049508,0,0.245487533457082,0.977077071136518
TCGA-EE-A17Z-06A-11R-A18S-07,0.911063034888893,7.21193808881374e-05,0.0748722152033457,0,0,0.0128710782894005,0.000104632900503128,0.00101691933696951,0,0.285632833604374,0.961530495220814
TCGA-EE-A180-06A-11R-A21D-07,0.971431810388598,0,0.0124670592230127,0,0,0.0125544253419627,0.00236154787604975,0.00118515717037718,0,0.503977979973909,0.875921452017974
TCGA-EE-A181-06A-11R-A18S-07,0.73770641196615,0.00607646701625947,0.0245226316646391,0.0366781427757977,0,0.121152908826865,0,0.0738634377502881,0,0.511441653966649,0.863778435031804
TCGA-EE-A182-06A-11R-A18T-07,0.769186222358373,0.000132521608585716,0.0839015198509133,0.00482168186992336,0,0.132636341175571,0,0.00932171313663332,0,0.30010795405249,0.961359659850981
TCGA-EE-A183-06A-11R-A18S-07,0.489064189667107,0.0626567916654208,0.0990946895300655,0.0386372462503341,0,0.0758734067684741,0,0.234673676118598,0,0.512369202743826,0.861211553948409
TCGA-EE-A184-06A-11R-A18S-07,0.922935558928095,0,0.0132841238090228,0.0113867550708678,0,0.0384458992036074,0,0.0139476629884072,0,0.443542027035526,0.900978137962673
TCGA-EE-A185-06A-11R-A18S-07,0.982961764503025,0,0.0140542765979373,0,0,0,0.000732168042475271,0.00225179085656232,0,0.28758151673499,0.961940638395258
TCGA-EE-A20B-06A-11R-A18U-07,0.707531047174146,0,0.185921282146766,0.0111447517572283,0,0.0825828358568908,0,0.0128200830649693,0,0.432748449176471,0.903584104069865
TCGA-EE-A20C-06A-11R-A18S-07,0.984020448433107,0,0.0010441301590411,0,0,0.0105803115600172,0.00435510984783449,0,0,0.57422855650384,0.845713908020227
TCGA-EE-A20F-06A-21R-A18S-07,0.763380093386508,0.00520244941994828,0.0756680843245353,0.0353036481453111,0,0.0662895962557297,0,0.054156128467968,0,0.542983861461025,0.860024846121418
TCGA-EE-A20H-06A-11R-A18S-07,0.706844810683279,1.17034866487685e-05,0.239048652871602,0.00420819922383398,0,0.0202382465285,0,0.029648387206136,0,0.348502407606113,0.937473845115014
TCGA-EE-A20I-06A-11R-A18U-07,0.845636247058519,0,0.0682833403622637,0.0158969065444637,0,0.0441648708757428,0,0.0260186351590105,0,0.353271012706845,0.936037078541673
TCGA-EE-A29A-06A-12R-A18U-07,0.819709902927025,0,0.169896967204201,0,0,0.00808745893612853,0,0.00230567093264613,0,0.610734369281997,0.832813653408779
TCGA-EE-A29B-06A-11R-A18U-07,0.882153536195943,7.92780223006054e-05,0.0102132669160651,0.0107986743455796,0,0.0738357794851435,0,0.022919465034968,0,0.436512584382789,0.90239360900875
TCGA-EE-A29C-06A-21R-A18S-07,0.637347068578356,0.00280048025222066,0.257204270042743,0.00601195539902782,0,0.0574492883593454,0,0.0391869373683073,0,0.351942710976156,0.936225219212992
TCGA-EE-A29D-06A-11R-A18T-07,0.946737541383194,0,0.0313524731541062,0,0,0.0165692539646886,0,0.00534073149801119,0,0.399185543673913,0.918521610040528
TCGA-EE-A29E-06A-11R-A18T-07,0.937901638388755,0,0.0456308891893383,0,0,0.00182954403933851,0,0.0146379283825685,0,0.559534456681732,0.854083287358268
TCGA-EE-A29G-06A-12R-A18T-07,0.761897906506865,0.000838133470430035,0.130544259108861,0.00824634003291409,0,0.0714637366557226,0,0.0270096242252073,0,0.421658678245889,0.908816636964285
TCGA-EE-A29H-06A-12R-A18S-07,0.85759155899576,0.00899471961582106,0.0662872872470557,0.00289303704065271,0,0.0274653637845463,0,0.0367680333161645,0,0.418612826006092,0.911626506788857
TCGA-EE-A29L-06A-12R-A18S-07,0.998294582129586,0,0,0,0,0,0,0.00170541787041346,0,0.365210201431955,0.931949024066427
TCGA-EE-A29M-06A-11R-A18T-07,0.895544252334281,5.76465968679651e-05,0.0163463577536878,0.0112670570193003,0,0.0380468616080493,0,0.0387378246878141,0,0.437037672985971,0.903791482935545
TCGA-EE-A29N-06A-12R-A18S-07,0.771592694387739,0.00456594527942302,0.064568407739211,0.0207502056149312,0,0.0578061302656407,0,0.0807166167130547,0,0.530752933399182,0.864723513030288
TCGA-EE-A29P-06A-11R-A18T-07,0.620247220583301,0.000557781024341754,0.0465166812594029,0.0973428096036931,0,0.178904627762208,0,0.056430879767053,0,0.730568984254318,0.722014530114365
TCGA-EE-A29Q-06A-11R-A18T-07,0.962935879690254,0,0.0240132686028122,0,0,0.00616849514262645,0,0.00688235656430728,0,0.656516243280424,0.810745808754241
TCGA-EE-A29R-06A-11R-A18T-07,0.794067980265653,0.00203723872851704,0.190988396725001,0,0,0.00768255911956536,0,0.00522382516126314,0,0.587963344004781,0.84231341973854
TCGA-EE-A29S-06A-11R-A18T-07,0.766992094857259,0,0.167528204377143,0,0,0.0469747987383834,0.00552874351670422,0.0129761585105102,0,0.459358098120708,0.894774018731275
TCGA-EE-A29T-06A-11R-A18T-07,0.705499116743018,0,0.121145875015452,0.0201104359560654,0,0.153244572285465,0,0,0,0.507462017988434,0.864687326908654
TCGA-EE-A29V-06A-12R-A18S-07,0.937121180182437,0,0.0493422351093605,0,0,0.00401695172565746,0,0.00951963298254469,0,0.357574602175281,0.934669810860567
TCGA-EE-A29W-06A-11R-A18U-07,0.544282090248842,0.0114324967006636,0.415224395534315,0,0,0.0236563060815018,0,0.00540471143467819,0,0.460655965741563,0.888897802338227
