Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-EE-A2MP-06A-11R-A18S-07,0,0,0.00294121997349817,0.222068490911739,0,0.00176250062428054,0,0.0691288550274149,0.0112098679067715,0,0,0.100578214040417,0.0777361347585112,0.0619751767899661,0.140746253443564,0.178915348927426,0.0263426213120277,0,0.106595316284382,0,0,0,0,0.100466576248517,1.06358050485309
TCGA-EE-A2MQ-06A-11R-A18S-07,0.104922293612166,0,0.0340899904155877,0.0584706505878034,0,0.0903440213970964,0.0189216039828392,0.0719420708290306,0.0323381452230245,0,0.0342843201812375,0,0,0.248604017820661,0.0648229700364724,0.224258881991882,0,0,0.0170010339221989,0,0,0,0,0.0717041898676627,1.06954439292369
TCGA-EE-A2MR-06A-11R-A18S-07,0.0657574782432882,0.161504587468736,0,0.182025462660875,0,0.0744932844682958,0.0162269929482738,0.0780241574967303,0.0166153869260126,0,0.0187443917937706,0,0.00355757468992818,0.12472039976767,0.0554359255983909,0.201753696474974,0,0,0.00114066146305509,0,0,0,0,0.465451489158537,0.884578418965903
TCGA-EE-A2MS-06A-11R-A18S-07,0,0.0874499711511888,0.146769965065444,0.0514191505037204,0,0.0743346859149689,0,0.141833981321103,0,0.014947213538632,0,0,0.00995256953668865,0.0656873836578171,0.127035249414876,0.112799633428092,0.00216368724215036,0,0.155991163942043,0,0.00961534528327532,0,0,0.028195179106658,1.06223144066205
TCGA-EE-A2MT-06A-11R-A18S-07,0.0094688424130872,0,0.185247007566103,0.0817364852621743,0,0,0,0.222691456114502,0.0149385856027364,0,0.0131931794152641,0.025345855851939,0,0.18479326177158,0.0216897975011977,0.13112169041233,0,0.0981641138063218,0.011609724282765,0,0,0,0,0.0973252687412178,1.04116304711952
TCGA-EE-A2MU-06A-21R-A18S-07,0.0188672458172933,0,0.00791748065013544,0.258259742313463,0,0,0.00852142678732143,0.0829413250858804,0.0582300754138919,0,0.0440212318587837,0.0152968055498862,0.0197220553109681,0.0671939369735603,0.142525128086362,0.237194269685727,0,0,0.0393092764667277,0,0,0,0,0.225288535074666,1.00698835839334
TCGA-EE-A3AA-06A-11R-A18S-07,0.0674724560211905,0.083926244862738,0,0.0853199131404996,0,0.0455696988524445,0,0.109308344108047,0.0659637437303087,0,0.0783963977220659,0,0,0.227830405670421,0.118445731725108,0.111254925018047,0,0,0.00651213914912952,0,0,0,0,0.385461337015786,0.925578054820928
TCGA-EE-A3AB-06A-11R-A18S-07,0,0.00816113443805107,0.00127669914187808,0.0555659025476136,0,0.0141028647758725,0.00726562177256486,0.0226246998869101,0.0368998355471894,0,0.019218900592536,0,0.0949066255146455,0.335388673974468,0.0217732958634007,0.351544255604613,0,0,0.0292412860231692,0,0,0.00203020431708869,0,0.287609845560295,1.00102909464396
TCGA-EE-A3AC-06A-11R-A18S-07,0.0484887138054879,0,0.0144664230718411,0.205610543167362,0,0.108074556807449,0,0.0948357554281167,0.0568322012655822,0,0.0351950452394796,0,0.0512919772413116,0.111474606082911,0.063641504016641,0.132506029420603,0,0,0.0704008325364645,0,0.00718181191675003,0,0,0.0465360490429304,1.07080788838728
TCGA-EE-A3AD-06A-11R-A18S-07,0.110569130338961,0,0.0563295725790942,0,0,0.00747531801788536,0,0.127454345974059,0.0144361050502187,0,0.0635855653949989,0,0,0.329678227230581,0.0373702741970138,0.223809105612482,0,0.00652042149248902,0,0.0227719341122162,0,0,0,0.00997787241878336,1.1136537703163
TCGA-EE-A3AE-06A-11R-A18S-07,0.0681015954688193,0,0.0398136699216931,0.219982233647934,0,0.130165311998372,0.00381358932606784,0.0909203465923394,0.0322816545313125,0,0.022423232906089,0.0294266236869798,0.071437679778781,0.00457050086684501,0.116265380413605,0.141161678582182,0,0,0.0296365022789806,0,0,0,0,0.032143908994339,1.08809435288409
TCGA-EE-A3AF-06A-11R-A18S-07,0,0.0223131581699188,0,0.0890467863352155,0,0,0,0.127814359471568,0.0207691123109674,0,0.0154006424840092,0.0319151355172609,0.0283954433920525,0.273136866172477,0.0434147629769084,0.233970024127449,0.00682417984683826,0,0.101277305241599,0,0.00572222395373666,0,0,0.0538791313968706,1.08480780256847
TCGA-EE-A3AG-06A-31R-A18S-07,0,0.050705981877511,0.014679679969541,0,0,0.218439600040725,0,0.0209872364764247,0.0553091814390206,0,0.0833639919832626,0,0,0.548720307484149,0,0,0.00779402072936697,0,0,0,0,0,0,0.168557405978103,1.07786570824121
